year,korea_gdp,japan_gdp,china_gdp
2021,34757.72007,39285.16311,12556.33312
2020,31597.50465,39918.16756,10408.66976
2019,31902.4169,40458.00188,10143.8382
2018,33436.92306,39727.11166,9905.342004
2017,31616.8434,38843.05923,8816.969605
2016,29288.87044,39375.47316,8094.363367
2015,28732.23108,34960.63953,8016.431435
2014,29249.57522,38475.39525,7636.116601
2013,27182.73431,40898.6479,7020.385181
2012,25466.76052,49145.28043,6300.516113
2011,25096.26388,48760.07895,5614.352135
2010,23087.22564,44968.15623,4550.453108
2009,19143.85161,41308.99684,3832.236432
2008,21350.42794,39876.30397,3468.304602
2007,24086.41044,35779.02545,2693.970063
2006,21743.17745,35991.546,2099.229435
2005,19402.50263,37812.89502,21753.41783
2004,16496.12009,38298.98017,1508.668098
2003,14672.85747,35387.03742,1288.643252
2002,13165.06574,32820.79364,1148.50829
2001,11561.24837,34406.18246,1053.108243
2000,12256.99357,39469.35957,959.3724836
